Date,Open,High,Low,Close,Adj Close,Volume
2020-09-30,0.002680,0.002688,0.002632,0.002642,0.002642,32195544
2020-10-01,0.002644,0.002678,0.002599,0.002615,0.002615,35974208
2020-10-02,0.002614,0.002614,0.002544,0.002584,0.002584,46978131
2020-10-03,0.002585,0.002636,0.002578,0.002605,0.002605,28617216
2020-10-04,0.002605,0.002672,0.002602,0.002646,0.002646,31175662
2020-10-05,0.002646,0.002660,0.002616,0.002627,0.002627,28690532
2020-10-06,0.002625,0.002637,0.002590,0.002610,0.002610,31952344
2020-10-07,0.002610,0.002613,0.002586,0.002600,0.002600,43259079
2020-10-08,0.002598,0.002633,0.002573,0.002603,0.002603,43957899
2020-10-09,null,null,null,null,null,null
2020-10-10,0.002654,0.002716,0.002654,0.002655,0.002655,96632426
2020-10-11,0.002667,0.002706,0.002649,0.002674,0.002674,107632465
2020-10-12,null,null,null,null,null,null
2020-10-13,null,null,null,null,null,null
2020-10-14,0.002634,0.002653,0.002618,0.002637,0.002637,87293434
2020-10-15,0.002650,0.002651,0.002569,0.002593,0.002593,83794207
2020-10-16,0.002595,0.002616,0.002557,0.002612,0.002612,117882236
2020-10-17,0.002603,0.002612,0.002573,0.002581,0.002581,125692391
2020-10-18,0.002581,0.002601,0.002577,0.002586,0.002586,72298803
2020-10-19,0.002595,0.002619,0.002572,0.002590,0.002590,91049562
2020-10-20,0.002590,0.002623,0.002581,0.002601,0.002601,65577101
2020-10-21,0.002600,0.002657,0.002594,0.002630,0.002630,45017115
2020-10-22,0.002627,0.002689,0.002624,0.002655,0.002655,44976453
2020-10-23,0.002649,0.002691,0.002637,0.002647,0.002647,46856082
2020-10-24,0.002647,0.002653,0.002624,0.002646,0.002646,44797614
2020-10-25,0.002645,0.002676,0.002624,0.002653,0.002653,58532388
2020-10-26,0.002653,0.002893,0.002636,0.002679,0.002679,122152251
2020-10-27,0.002679,0.002708,0.002630,0.002677,0.002677,78927089
2020-10-28,0.002677,0.002697,0.002575,0.002595,0.002595,72848720
2020-10-29,0.002595,0.002623,0.002518,0.002581,0.002581,58929515
2020-10-30,0.002581,0.002607,0.002533,0.002598,0.002598,63444097
2020-10-31,0.002598,0.002603,0.002556,0.002576,0.002576,56189318
2020-11-01,0.002576,0.002590,0.002561,0.002582,0.002582,45528682
2020-11-02,0.002582,0.002592,0.002515,0.002517,0.002517,50142376
2020-11-03,0.002517,0.002530,0.002452,0.002528,0.002528,62871653
2020-11-04,0.002528,0.002558,0.002497,0.002533,0.002533,52552651
2020-11-05,0.002533,0.002639,0.002496,0.002617,0.002617,31611963
2020-11-06,0.002617,0.002801,0.002608,0.002760,0.002760,54267546
2020-11-07,0.002760,0.002819,0.002612,0.002671,0.002671,44610219
2020-11-08,0.002671,0.002742,0.002658,0.002711,0.002711,22754531
2020-11-09,0.002711,0.002786,0.002663,0.002670,0.002670,28124348
2020-11-10,0.002670,0.002851,0.002655,0.002753,0.002753,39633173
2020-11-11,0.002753,0.002837,0.002753,0.002769,0.002769,33138759
2020-11-12,0.002769,0.002791,0.002747,0.002779,0.002779,24028261
2020-11-13,0.002779,0.002836,0.002777,0.002821,0.002821,29217750
2020-11-14,0.002821,0.002821,0.002721,0.002773,0.002773,30334380
2020-11-15,0.002773,0.002813,0.002739,0.002775,0.002775,25131683
2020-11-16,0.002775,0.003009,0.002757,0.002886,0.002886,52063283
2020-11-17,0.002908,0.002976,0.002886,0.002936,0.002936,46631464
2020-11-18,0.002936,0.002999,0.002855,0.002909,0.002909,49460064
2020-11-19,0.002909,0.002960,0.002868,0.002911,0.002911,40330643
2020-11-20,0.002911,0.003011,0.002908,0.002984,0.002984,57656465
2020-11-21,0.002984,0.003549,0.002984,0.003507,0.003507,162641694
2020-11-22,0.003507,0.003660,0.003181,0.003329,0.003329,121660410
2020-11-23,0.003329,0.003648,0.003232,0.003648,0.003648,101561039
2020-11-24,0.003645,0.004204,0.003579,0.004204,0.004204,266716036
2020-11-25,0.004200,0.004256,0.003642,0.003727,0.003727,174459927
2020-11-26,0.003727,0.003793,0.002980,0.003250,0.003250,175520294
2020-11-27,0.003250,0.003355,0.003093,0.003275,0.003275,92323023
2020-11-28,0.003275,0.003470,0.003247,0.003405,0.003405,58033650
2020-11-29,0.003405,0.003530,0.003358,0.003448,0.003448,46319972
2020-11-30,0.003448,0.003580,0.003414,0.003551,0.003551,68622736
2020-12-01,0.003551,0.003572,0.003269,0.003335,0.003335,80163603
2020-12-02,0.003335,0.003436,0.003293,0.003374,0.003374,58705661
2020-12-03,0.003375,0.003500,0.003352,0.003428,0.003428,47907032
2020-12-04,0.003429,0.003447,0.003285,0.003298,0.003298,45062222
2020-12-05,0.003297,0.003414,0.003268,0.003397,0.003397,43386583
2020-12-06,0.003397,0.003442,0.003343,0.003388,0.003388,40936574
2020-12-07,0.003388,0.003400,0.003320,0.003342,0.003342,36923814
2020-12-08,0.003343,0.003361,0.003138,0.003179,0.003179,52702701
2020-12-09,0.003179,0.003182,0.003016,0.003158,0.003158,45746722
2020-12-10,0.003158,0.003165,0.003066,0.003105,0.003105,33740988
2020-12-11,0.003105,0.003110,0.003009,0.003079,0.003079,41712942
2020-12-12,0.003079,0.003184,0.003075,0.003163,0.003163,35466155
2020-12-13,0.003164,0.003274,0.003153,0.003256,0.003256,37464323
2020-12-14,0.003256,0.003279,0.003199,0.003231,0.003231,36238516
2020-12-15,0.003230,0.003250,0.003178,0.003206,0.003206,37127782
2020-12-16,0.003205,0.003422,0.003186,0.003416,0.003416,50989880
2020-12-17,0.003416,0.004113,0.003406,0.003730,0.003730,172736659
2020-12-18,0.003730,0.003970,0.003618,0.003858,0.003858,101799430
2020-12-19,0.003859,0.004018,0.003810,0.003927,0.003927,98447179
2020-12-20,0.003926,0.004678,0.003827,0.004625,0.004625,508066004
2020-12-21,0.004627,0.005406,0.004363,0.004787,0.004787,664160057
2020-12-22,0.004784,0.004843,0.004370,0.004508,0.004508,239288785
2020-12-23,0.004508,0.004735,0.003640,0.003768,0.003768,205080908
2020-12-24,0.003768,0.004577,0.003697,0.004570,0.004570,143405580
2020-12-25,0.004570,0.004613,0.004395,0.004582,0.004582,136819917
2020-12-26,0.004581,0.004640,0.004423,0.004494,0.004494,151728507
2020-12-27,0.004493,0.004805,0.004429,0.004548,0.004548,154526399
2020-12-28,0.004548,0.004716,0.004523,0.004592,0.004592,99641525
2020-12-29,0.004592,0.004608,0.004278,0.004486,0.004486,90876497
2020-12-30,0.004487,0.004703,0.004453,0.004636,0.004636,94834499
2020-12-31,0.004636,0.004743,0.004553,0.004682,0.004682,85498337
2021-01-01,0.004681,0.005685,0.004615,0.005685,0.005685,228961515
2021-01-02,0.005686,0.013698,0.005584,0.010615,0.010615,3421562680
2021-01-03,0.010602,0.013867,0.009409,0.009771,0.009771,2707003608
2021-01-04,0.009785,0.011421,0.007878,0.009767,0.009767,1372398979
2021-01-05,0.009767,0.010219,0.008972,0.009920,0.009920,687256067
2021-01-06,0.009923,0.010854,0.009685,0.010465,0.010465,749915516
2021-01-07,0.010454,0.010532,0.009162,0.009742,0.009742,520644706
2021-01-08,0.009743,0.010285,0.008986,0.009846,0.009846,394462164
2021-01-09,0.009833,0.010740,0.009740,0.010194,0.010194,485842353
2021-01-10,0.010193,0.010867,0.009177,0.009860,0.009860,458583519
2021-01-11,0.009858,0.009858,0.006770,0.008835,0.008835,637956958
2021-01-12,0.008830,0.009145,0.007904,0.008063,0.008063,333308457
2021-01-13,0.008062,0.008646,0.007787,0.008616,0.008616,240079033
2021-01-14,0.008619,0.010030,0.008349,0.009397,0.009397,428369039
2021-01-15,0.009389,0.009796,0.008460,0.009369,0.009369,398965925
2021-01-16,0.009367,0.009531,0.009140,0.009265,0.009265,258630480
2021-01-17,0.009263,0.009367,0.008841,0.009067,0.009067,254487989
