level,name,zipcode,grade_k,grade_1,grade_2,grade_3,grade_4,grade_5,grade_6,grade_7,grade_8,grade_9,grade_10,grade_11,grade_12,native_amer,asian,black,hisp,p_islander,white,male,female,econ_disadv,disabled,limited_eng,lat,lng
Charter,Nashville Classical,37206,70.0,64.0,65.0,64.0,64.0,61.0,52.0,,,,,,,1.0,4.0,287,35,,113.0,227,213,149,55.0,17.0,36.1799726463,-86.7460731124
Charter,Nashville Prep,37209,,,,,,64.0,74.0,78.0,68.0,,,,,1.0,7.0,148,113,1.0,14.0,144,140,153,42.0,90.0,36.1623058663,-86.85533178680001
High School,Nashville School Of The Arts,37210,,,,,,,,,,167.0,138.0,129.0,129.0,,16.0,232,39,,276.0,168,395,81,49.0,8.0,36.1329133192,-86.7405001865
Charter,Neelys Bend College Prep,37115,,,,,,114.0,143.0,121.0,125.0,,,,,,3.0,206,221,,73.0,282,221,259,9.0,181.0,36.2419079199,-86.674230711
Elementary School,Neelys Bend Elementary,37115,57.0,52.0,60.0,51.0,60.0,,,,,,,,,,,103,144,,51.0,153,146,160,31.0,97.0,36.2399690605,-86.6735175002
Elementary School,Norman Binkley Elementary,37211,113.0,140.0,107.0,114.0,123.0,,,,,,,,,,46.0,79,331,2.0,174.0,304,328,281,60.0,346.0,36.076976208000005,-86.7484948034
Elementary School,Old Center Elementary,37072,56.0,60.0,62.0,70.0,72.0,,,,,,,,,,3.0,171,126,,59.0,173,186,174,48.0,83.0,36.291209723899996,-86.7379489567
Elementary School,Paragon Mills Elementary,37211,101.0,113.0,115.0,105.0,97.0,,,,,,,,,,60.0,160,313,,81.0,322,292,318,58.0,313.0,36.087419407,-86.7070560977
Elementary School,Park Avenue Elementary,37209,68.0,59.0,64.0,60.0,59.0,,,,,,,,,1.0,,316,21,,20.0,173,185,262,45.0,17.0,36.1510157044,-86.8296779019
High School,Pearl-Cohn High,37208,,,,,,,,,,176.0,153.0,134.0,142.0,,2.0,569,22,,12.0,285,320,430,127.0,20.0,36.1645403992,-86.815136164
Elementary School,Pennington Elementary,37214,53.0,49.0,50.0,61.0,61.0,,,,,,,,,4.0,5.0,54,64,,167.0,167,127,83,28.0,36.0,36.2033663873,-86.6814273247
Elementary School,Percy Priest Elementary,37215,109.0,88.0,105.0,101.0,99.0,,,,,,,,,3.0,28.0,17,21,2.0,431.0,261,241,7,29.0,6.0,36.0615871471,-86.8336952185
Charter,Purpose Prep,37228,82.0,98.0,67.0,64.0,55.0,,,,,,,,,2.0,,329,9,,26.0,173,193,152,19.0,20.0,36.1942880381,-86.7946999618
Charter,RePublic High School,37207,,,,,,,,,,224.0,181.0,101.0,104.0,1.0,4.0,338,213,,54.0,304,306,229,82.0,95.0,36.2420998862,-86.77930926149999
Elementary School,Robert Churchwell Elementary,37208,55.0,47.0,58.0,50.0,59.0,,,,,,,,,1.0,,273,9,,2.0,141,144,242,39.0,12.0,36.1753538423,-86.8094236992
Elementary School,Robert E. Lillard Elementary,37218,42.0,47.0,46.0,46.0,56.0,,,,,,,,,,,225,6,,6.0,118,119,174,33.0,5.0,36.220572338800004,-86.8269077667
Charter,Rocketship Nashville Northeast Elementary,37207,123.0,106.0,73.0,88.0,89.0,,,,,,,,,4.0,,347,112,,16.0,232,247,358,65.0,85.0,36.2136492726,-86.7654223968
Charter,Rocketship United,37217,102.0,114.0,107.0,110.0,113.0,,,,,,,,,1.0,3.0,236,254,,52.0,246,300,261,49.0,273.0,36.1304768556,-86.72486617950001
Middle School,Rose Park Middle,37203,,,,,,115.0,116.0,109.0,102.0,,,,,,16.0,283,36,,107.0,226,216,95,32.0,48.0,36.1424058913,-86.78131451649999
Elementary School,Rosebank Elementary,37206,74.0,69.0,49.0,47.0,34.0,,,,,,,,,,7.0,187,25,,95.0,158,156,152,40.0,10.0,36.1839805189,-86.71777697030001
Elementary School,Ross Early Learning Center,37206,,,,,,,,,,,,,,,4.0,109,24,,98.0,122,113,73,47.0,,36.1798601253,-86.7545481099
Elementary School,Ruby Major Elementary,37076,88.0,88.0,80.0,101.0,82.0,,,,,,,,,3.0,15.0,223,72,1.0,158.0,251,222,173,60.0,61.0,36.1561669093,-86.5786577126
Elementary School,Shwab Elementary,37207,59.0,48.0,56.0,68.0,60.0,,,,,,,,,,1.0,100,203,,36.0,190,150,169,50.0,153.0,36.1999066318,-86.77079229120001
Elementary School,Smith Springs Elementary School,37013,114.0,115.0,101.0,105.0,109.0,,,,,,,,,,18.0,254,197,,193.0,354,308,242,102.0,128.0,36.0823638291,-86.59548477850001
Charter,Smithson Craighead Academy,37115,53.0,39.0,33.0,36.0,43.0,,,,,,,,,,,97,93,1.0,13.0,101,103,105,29.0,62.0,36.2510250701,-86.69661996129999
Elementary School,Stanford Elementary,37214,60.0,65.0,57.0,55.0,53.0,,,,,,,,,5.0,23.0,108,41,1.0,225.0,213,190,66,39.0,23.0,36.176076278400004,-86.6823175115
Charter,STEM Prep Academy,37210,,,,,,135.0,128.0,128.0,126.0,,,,,1.0,10.0,73,270,,163.0,272,245,211,45.0,359.0,36.1351446302,-86.7386061567
Charter,STEM Prep High School,37210,,,,,,,,,,149.0,129.0,112.0,99.0,2.0,12.0,93,270,,112.0,261,228,166,35.0,195.0,36.1354168461,-86.7386223689
High School,Stratford STEM Magnet School,37216,,,,,,71.0,85.0,81.0,79.0,170.0,172.0,161.0,141.0,1.0,25.0,658,106,,170.0,546,414,598,164.0,131.0,36.1975898577,-86.7180671344
Elementary School,Stratton Elementary,37115,88.0,98.0,89.0,112.0,97.0,,,,,,,,,1.0,6.0,196,219,,82.0,241,263,280,59.0,192.0,36.2656026682,-86.71768232870001
Charter,Strive Collegiate Academy,37214,,,,,,99.0,107.0,93.0,80.0,,,,,,11.0,162,108,1.0,97.0,196,183,118,46.0,104.0,36.1788359554,-86.6432213808
Elementary School,Sylvan Park Elementary,37209,90.0,90.0,81.0,90.0,74.0,,,,,,,,,,10.0,132,20,3.0,260.0,229,196,65,59.0,9.0,36.1442237082,-86.84459504360001
Non-Traditional,The Academy at Hickory Hollow,37013,,,,,,,,,,,,,50.0,,,18,19,,13.0,28,22,22,5.0,11.0,36.0503997998,-86.6548197259
