vacc_date,zipcode,count_given,dose_nbr,protocol
2020-12-21,37072.0,18.0,1.0,two-shot
2020-12-21,37076.0,24.0,1.0,two-shot
2020-12-21,37080.0,2.0,1.0,two-shot
2020-12-21,37115.0,21.0,1.0,two-shot
2020-12-21,37138.0,25.0,1.0,two-shot
2020-12-21,37189.0,3.0,1.0,two-shot
2020-12-21,37201.0,2.0,1.0,two-shot
2020-12-21,37203.0,56.0,1.0,two-shot
2020-12-21,37203.0,1.0,2.0,two-shot
2020-12-21,37204.0,35.0,1.0,two-shot
2020-12-21,37205.0,147.0,1.0,two-shot
2020-12-21,37206.0,24.0,1.0,two-shot
2020-12-21,37207.0,13.0,1.0,two-shot
2020-12-21,37208.0,26.0,1.0,two-shot
2020-12-21,37208.0,2.0,2.0,two-shot
2020-12-21,37209.0,66.0,1.0,two-shot
2020-12-21,37209.0,2.0,2.0,two-shot
2020-12-21,37210.0,12.0,1.0,two-shot
2020-12-21,37211.0,44.0,1.0,two-shot
2020-12-21,37212.0,35.0,1.0,two-shot
2020-12-21,37214.0,18.0,1.0,two-shot
2020-12-21,37215.0,58.0,1.0,two-shot
2020-12-21,37215.0,1.0,2.0,two-shot
2020-12-21,37216.0,17.0,1.0,two-shot
2020-12-21,37217.0,8.0,1.0,two-shot
2020-12-21,37218.0,6.0,1.0,two-shot
2020-12-21,37220.0,3.0,1.0,two-shot
2020-12-21,37221.0,60.0,1.0,two-shot
2020-12-21,37221.0,2.0,2.0,two-shot
2020-12-21,37228.0,1.0,1.0,two-shot
2020-12-21,37238.0,1.0,1.0,two-shot
2020-12-21,,5.0,1.0,two-shot
2020-12-22,37013.0,58.0,1.0,two-shot
2020-12-22,37072.0,39.0,1.0,two-shot
2020-12-22,37076.0,58.0,1.0,two-shot
2020-12-22,37080.0,8.0,1.0,two-shot
2020-12-22,37115.0,21.0,1.0,two-shot
2020-12-22,37138.0,32.0,1.0,two-shot
2020-12-22,37189.0,3.0,1.0,two-shot
2020-12-22,37201.0,2.0,1.0,two-shot
2020-12-22,37203.0,92.0,1.0,two-shot
2020-12-22,37204.0,58.0,1.0,two-shot
2020-12-22,37205.0,110.0,1.0,two-shot
2020-12-22,37205.0,1.0,2.0,two-shot
2020-12-22,37206.0,47.0,1.0,two-shot
2020-12-22,37207.0,27.0,1.0,two-shot
2020-12-22,37208.0,33.0,1.0,two-shot
2020-12-22,37209.0,134.0,1.0,two-shot
2020-12-22,37209.0,1.0,2.0,two-shot
2020-12-22,37210.0,15.0,1.0,two-shot
2020-12-22,37211.0,91.0,1.0,two-shot
2020-12-22,37212.0,54.0,1.0,two-shot
2020-12-22,37213.0,1.0,1.0,two-shot
2020-12-22,37214.0,34.0,1.0,two-shot
2020-12-22,37215.0,68.0,1.0,two-shot
2020-12-22,37216.0,24.0,1.0,two-shot
2020-12-22,37216.0,1.0,2.0,two-shot
2020-12-22,37217.0,22.0,1.0,two-shot
2020-12-22,37218.0,4.0,1.0,two-shot
2020-12-22,37219.0,5.0,1.0,two-shot
2020-12-22,37220.0,19.0,1.0,two-shot
2020-12-22,37221.0,97.0,1.0,two-shot
2020-12-22,37228.0,1.0,1.0,two-shot
2020-12-22,,5.0,1.0,two-shot
2020-12-23,37013.0,92.0,1.0,two-shot
2020-12-23,37013.0,2.0,2.0,two-shot
2020-12-23,37027.0,2.0,1.0,two-shot
2020-12-23,37072.0,75.0,1.0,two-shot
2020-12-23,37072.0,1.0,2.0,two-shot
2020-12-23,37076.0,62.0,1.0,two-shot
2020-12-23,37080.0,11.0,1.0,two-shot
2020-12-23,37115.0,34.0,1.0,two-shot
2020-12-23,37138.0,48.0,1.0,two-shot
2020-12-23,37189.0,3.0,1.0,two-shot
2020-12-23,37201.0,2.0,1.0,two-shot
2020-12-23,37203.0,93.0,1.0,two-shot
2020-12-23,37204.0,46.0,1.0,two-shot
2020-12-23,37204.0,1.0,2.0,two-shot
2020-12-23,37205.0,181.0,1.0,two-shot
2020-12-23,37206.0,79.0,1.0,two-shot
2020-12-23,37206.0,1.0,2.0,two-shot
2020-12-23,37207.0,58.0,1.0,two-shot
2020-12-23,37208.0,30.0,1.0,two-shot
2020-12-23,37209.0,124.0,1.0,two-shot
2020-12-23,37210.0,20.0,1.0,two-shot
2020-12-23,37211.0,115.0,1.0,two-shot
2020-12-23,37211.0,1.0,2.0,two-shot
2020-12-23,37212.0,70.0,1.0,two-shot
2020-12-23,37212.0,1.0,2.0,two-shot
2020-12-23,37213.0,1.0,1.0,two-shot
2020-12-23,37214.0,67.0,1.0,two-shot
2020-12-23,37215.0,98.0,1.0,two-shot
2020-12-23,37215.0,3.0,2.0,two-shot
2020-12-23,37216.0,40.0,1.0,two-shot
2020-12-23,37217.0,27.0,1.0,two-shot
2020-12-23,37218.0,18.0,1.0,two-shot
2020-12-23,37219.0,5.0,1.0,two-shot
2020-12-23,37220.0,30.0,1.0,two-shot
2020-12-23,37221.0,154.0,1.0,two-shot
2020-12-23,37228.0,3.0,1.0,two-shot
2020-12-23,,6.0,1.0,two-shot
2020-12-24,37013.0,19.0,1.0,two-shot
2020-12-24,37072.0,16.0,1.0,two-shot
2020-12-24,37076.0,18.0,1.0,two-shot
2020-12-24,37076.0,1.0,2.0,two-shot
2020-12-24,37080.0,6.0,1.0,two-shot
2020-12-24,37115.0,14.0,1.0,two-shot
2020-12-24,37138.0,19.0,1.0,two-shot
2020-12-24,37189.0,2.0,1.0,two-shot
2020-12-24,37203.0,27.0,1.0,two-shot
2020-12-24,37204.0,32.0,1.0,two-shot
2020-12-24,37205.0,39.0,1.0,two-shot
2020-12-24,37206.0,17.0,1.0,two-shot
2020-12-24,37207.0,14.0,1.0,two-shot
2020-12-24,37208.0,15.0,1.0,two-shot
2020-12-24,37209.0,81.0,1.0,two-shot
2020-12-24,37210.0,3.0,1.0,two-shot
2020-12-24,37211.0,42.0,1.0,two-shot
2020-12-24,37212.0,36.0,1.0,two-shot
2020-12-24,37214.0,18.0,1.0,two-shot
2020-12-24,37214.0,1.0,2.0,two-shot
2020-12-24,37215.0,33.0,1.0,two-shot
2020-12-24,37215.0,2.0,2.0,two-shot
2020-12-24,37216.0,14.0,1.0,two-shot
2020-12-24,37217.0,7.0,1.0,two-shot
2020-12-24,37218.0,1.0,1.0,two-shot
2020-12-24,37219.0,2.0,1.0,two-shot
2020-12-24,37220.0,9.0,1.0,two-shot
2020-12-24,37221.0,75.0,1.0,two-shot
2020-12-24,37228.0,4.0,1.0,two-shot
2020-12-24,,1.0,1.0,two-shot
2020-12-25,37013.0,14.0,1.0,two-shot
2020-12-25,37072.0,8.0,1.0,two-shot
2020-12-25,37076.0,10.0,1.0,two-shot
2020-12-25,37080.0,2.0,1.0,two-shot
2020-12-25,37115.0,4.0,1.0,two-shot
2020-12-25,37138.0,5.0,1.0,two-shot
2020-12-25,37201.0,1.0,1.0,two-shot
2020-12-25,37203.0,28.0,1.0,two-shot
2020-12-25,37204.0,16.0,1.0,two-shot
2020-12-25,37205.0,33.0,1.0,two-shot
2020-12-25,37206.0,19.0,1.0,two-shot
2020-12-25,37207.0,6.0,1.0,two-shot
2020-12-25,37207.0,1.0,2.0,two-shot
2020-12-25,37208.0,12.0,1.0,two-shot
2020-12-25,37209.0,51.0,1.0,two-shot
2020-12-25,37210.0,6.0,1.0,two-shot
2020-12-25,37211.0,30.0,1.0,two-shot
2020-12-25,37212.0,54.0,1.0,two-shot
2020-12-25,37214.0,9.0,1.0,two-shot
2020-12-25,37215.0,50.0,1.0,two-shot
2020-12-25,37216.0,12.0,1.0,two-shot
2020-12-25,37217.0,7.0,1.0,two-shot
2020-12-25,37218.0,3.0,1.0,two-shot
2020-12-25,37219.0,2.0,1.0,two-shot
2020-12-25,37220.0,8.0,1.0,two-shot
2020-12-25,37221.0,50.0,1.0,two-shot
2020-12-25,37228.0,1.0,1.0,two-shot
2020-12-25,,1.0,1.0,two-shot
2020-12-26,37013.0,22.0,1.0,two-shot
2020-12-26,37072.0,21.0,1.0,two-shot
2020-12-26,37076.0,31.0,1.0,two-shot
2020-12-26,37080.0,3.0,1.0,two-shot
2020-12-26,37115.0,14.0,1.0,two-shot
2020-12-26,37138.0,30.0,1.0,two-shot
2020-12-26,37189.0,3.0,1.0,two-shot
2020-12-26,37201.0,2.0,1.0,two-shot
2020-12-26,37203.0,36.0,1.0,two-shot
2020-12-26,37203.0,1.0,2.0,two-shot
2020-12-26,37204.0,29.0,1.0,two-shot
2020-12-26,37205.0,54.0,1.0,two-shot
2020-12-26,37206.0,39.0,1.0,two-shot
2020-12-26,37207.0,20.0,1.0,two-shot
2020-12-26,37208.0,21.0,1.0,two-shot
2020-12-26,37209.0,57.0,1.0,two-shot
2020-12-26,37209.0,1.0,2.0,two-shot
2020-12-26,37210.0,3.0,1.0,two-shot
2020-12-26,37211.0,54.0,1.0,two-shot
2020-12-26,37212.0,43.0,1.0,two-shot
2020-12-26,37214.0,18.0,1.0,two-shot
2020-12-26,37215.0,44.0,1.0,two-shot
2020-12-26,37216.0,23.0,1.0,two-shot
2020-12-26,37217.0,12.0,1.0,two-shot
2020-12-26,37218.0,8.0,1.0,two-shot
2020-12-26,37219.0,3.0,1.0,two-shot
2020-12-26,37220.0,7.0,1.0,two-shot
2020-12-26,37221.0,82.0,1.0,two-shot
2020-12-26,37228.0,2.0,1.0,two-shot
2020-12-26,,3.0,1.0,two-shot
2020-12-27,37013.0,18.0,1.0,two-shot
2020-12-27,37072.0,7.0,1.0,two-shot
2020-12-27,37076.0,15.0,1.0,two-shot
2020-12-27,37076.0,1.0,2.0,two-shot
2020-12-27,37080.0,3.0,1.0,two-shot
2020-12-27,37115.0,6.0,1.0,two-shot
2020-12-27,37138.0,6.0,1.0,two-shot
2020-12-27,37189.0,1.0,1.0,two-shot
2020-12-27,37201.0,1.0,1.0,two-shot
2020-12-27,37203.0,26.0,1.0,two-shot
2020-12-27,37204.0,19.0,1.0,two-shot
2020-12-27,37205.0,38.0,1.0,two-shot
2020-12-27,37205.0,1.0,2.0,two-shot
2020-12-27,37206.0,14.0,1.0,two-shot
2020-12-27,37207.0,10.0,1.0,two-shot
2020-12-27,37208.0,16.0,1.0,two-shot
2020-12-27,37209.0,49.0,1.0,two-shot
2020-12-27,37210.0,10.0,1.0,two-shot
2020-12-27,37211.0,34.0,1.0,two-shot
2020-12-27,37212.0,24.0,1.0,two-shot
2020-12-27,37214.0,21.0,1.0,two-shot
2020-12-27,37215.0,33.0,1.0,two-shot
2020-12-27,37216.0,11.0,1.0,two-shot
2020-12-27,37217.0,5.0,1.0,two-shot
2020-12-27,37218.0,3.0,1.0,two-shot
2020-12-27,37219.0,1.0,1.0,two-shot
2020-12-27,37220.0,3.0,1.0,two-shot
2020-12-27,37221.0,65.0,1.0,two-shot
2020-12-27,37228.0,1.0,1.0,two-shot
2020-12-27,,2.0,1.0,two-shot
2020-12-28,37013.0,122.0,1.0,two-shot
2020-12-28,37072.0,84.0,1.0,two-shot
2020-12-28,37076.0,66.0,1.0,two-shot
2020-12-28,37080.0,26.0,1.0,two-shot
2020-12-28,37115.0,47.0,1.0,two-shot
2020-12-28,37138.0,44.0,1.0,two-shot
2020-12-28,37189.0,9.0,1.0,two-shot
2020-12-28,37201.0,4.0,1.0,two-shot
2020-12-28,37203.0,72.0,1.0,two-shot
2020-12-28,37204.0,43.0,1.0,two-shot
2020-12-28,37205.0,149.0,1.0,two-shot
2020-12-28,37205.0,1.0,2.0,two-shot
2020-12-28,37206.0,51.0,1.0,two-shot
2020-12-28,37206.0,2.0,2.0,two-shot
2020-12-28,37207.0,47.0,1.0,two-shot
2020-12-28,37208.0,36.0,1.0,two-shot
2020-12-28,37209.0,109.0,1.0,two-shot
2020-12-28,37210.0,22.0,1.0,two-shot
2020-12-28,37211.0,90.0,1.0,two-shot
2020-12-28,37212.0,43.0,1.0,two-shot
2020-12-28,37214.0,42.0,1.0,two-shot
2020-12-28,37215.0,57.0,1.0,two-shot
2020-12-28,37216.0,28.0,1.0,two-shot
2020-12-28,37216.0,1.0,2.0,two-shot
2020-12-28,37217.0,35.0,1.0,two-shot
2020-12-28,37218.0,27.0,1.0,two-shot
2020-12-28,37219.0,3.0,1.0,two-shot
