count,VACC_DATE,DOSE_COUNT,zip
5,01/08/2021,2,
100,01/08/2021,1,37013
60,01/08/2021,2,37013
1,01/08/2021,1,37027
48,01/08/2021,1,37072
36,01/08/2021,2,37072
22,01/08/2021,1,37076
63,01/08/2021,2,37076
4,01/08/2021,1,37080
8,01/08/2021,2,37080
73,01/08/2021,1,37115
19,01/08/2021,2,37115
19,01/08/2021,1,37138
35,01/08/2021,2,37138
7,01/08/2021,1,37189
6,01/08/2021,2,37189
1,01/08/2021,2,37201
41,01/08/2021,1,37203
163,01/08/2021,2,37203
34,01/08/2021,1,37204
89,01/08/2021,2,37204
151,01/08/2021,1,37205
217,01/08/2021,2,37205
27,01/08/2021,1,37206
69,01/08/2021,2,37206
22,01/08/2021,1,37207
33,01/08/2021,2,37207
18,01/08/2021,1,37208
44,01/08/2021,2,37208
62,01/08/2021,1,37209
205,01/08/2021,2,37209
20,01/08/2021,1,37210
17,01/08/2021,2,37210
67,01/08/2021,1,37211
99,01/08/2021,2,37211
27,01/08/2021,1,37212
106,01/08/2021,2,37212
27,01/08/2021,1,37214
41,01/08/2021,2,37214
69,01/08/2021,1,37215
158,01/08/2021,2,37215
19,01/08/2021,1,37216
32,01/08/2021,2,37216
13,01/08/2021,1,37217
13,01/08/2021,2,37217
13,01/08/2021,1,37218
12,01/08/2021,2,37218
2,01/08/2021,1,37219
3,01/08/2021,2,37219
23,01/08/2021,1,37220
28,01/08/2021,2,37220
88,01/08/2021,1,37221
143,01/08/2021,2,37221
3,01/08/2021,1,37228
1,01/08/2021,2,37228
3,01/09/2021,1,
4,01/09/2021,2,
60,01/09/2021,1,37013
26,01/09/2021,2,37013
16,01/09/2021,1,37072
13,01/09/2021,2,37072
34,01/09/2021,1,37076
17,01/09/2021,2,37076
6,01/09/2021,1,37080
2,01/09/2021,2,37080
25,01/09/2021,1,37115
9,01/09/2021,2,37115
14,01/09/2021,1,37138
14,01/09/2021,2,37138
3,01/09/2021,1,37189
1,01/09/2021,2,37189
1,01/09/2021,1,37201
2,01/09/2021,2,37201
4,01/09/2021,1,37203
89,01/09/2021,2,37203
20,01/09/2021,1,37204
72,01/09/2021,2,37204
119,01/09/2021,1,37205
159,01/09/2021,2,37205
12,01/09/2021,1,37206
30,01/09/2021,2,37206
9,01/09/2021,1,37207
18,01/09/2021,2,37207
6,01/09/2021,1,37208
30,01/09/2021,2,37208
35,01/09/2021,1,37209
99,01/09/2021,2,37209
8,01/09/2021,1,37210
8,01/09/2021,2,37210
36,01/09/2021,1,37211
43,01/09/2021,2,37211
13,01/09/2021,1,37212
91,01/09/2021,2,37212
28,01/09/2021,1,37214
18,01/09/2021,2,37214
97,01/09/2021,1,37215
104,01/09/2021,2,37215
6,01/09/2021,1,37216
17,01/09/2021,2,37216
7,01/09/2021,1,37217
9,01/09/2021,2,37217
11,01/09/2021,1,37218
3,01/09/2021,2,37218
3,01/09/2021,1,37219
3,01/09/2021,2,37219
25,01/09/2021,1,37220
22,01/09/2021,2,37220
65,01/09/2021,1,37221
85,01/09/2021,2,37221
2,01/09/2021,2,37228
2,01/10/2021,1,
3,01/10/2021,2,
91,01/10/2021,1,37013
34,01/10/2021,2,37013
27,01/10/2021,1,37072
27,01/10/2021,2,37072
66,01/10/2021,1,37076
41,01/10/2021,2,37076
4,01/10/2021,1,37080
1,01/10/2021,2,37080
30,01/10/2021,1,37115
17,01/10/2021,2,37115
31,01/10/2021,1,37138
11,01/10/2021,2,37138
9,01/10/2021,1,37189
3,01/10/2021,2,37189
