name,total_students,econ_disadv,score_achievement,score_growth,score_absenteeism,score_grad,score_ready_grad,score_elpa,pct_econ_disadv
Gra-Mar Middle,344,222,1.0,2.0,4.0,,,1.0,64.53488372093024
Granbery Elementary,751,137,4.0,4.0,3.0,,,3.0,18.242343541944077
Harpeth Valley Elementary,700,66,4.0,3.0,4.0,,,4.0,9.428571428571429
Hattie Cotton Elementary,239,136,2.0,3.0,2.0,,,4.0,56.903765690376574
Haynes Middle,220,164,1.0,2.0,2.0,,,,74.54545454545455
Haywood Elementary,624,273,1.0,2.0,3.0,,,3.0,43.75
Head Middle,551,124,4.0,2.0,4.0,,,,22.50453720508167
Hermitage Elementary,299,115,2.0,3.0,2.0,,,3.0,38.46153846153847
Hickman Elementary,473,220,1.0,0.0,4.0,,,4.0,46.51162790697674
Hillsboro High,1167,313,2.0,0.0,4.0,4.0,4.0,1.0,26.820908311910884
Hillwood High,1091,358,1.0,0.0,3.0,4.0,4.0,1.0,32.81393217231897
Hull-Jackson Elementary,430,197,1.0,0.0,1.0,,,,45.81395348837209
Hunters Lane High,1333,582,1.0,0.0,3.0,4.0,3.0,0.0,43.6609152288072
Ida B. Wells Elementary,263,216,1.0,1.0,4.0,,,3.0,82.12927756653993
Inglewood Elementary,229,144,2.0,0.0,2.0,,,,62.882096069869
Isaac Litton Middle,469,140,2.0,1.0,3.0,,,0.0,29.850746268656714
Jere Baxter Middle,261,182,1.0,0.0,4.0,,,1.0,69.73180076628353
Joelton Elementary,262,112,3.0,0.0,3.0,,,,42.74809160305343
Joelton Middle,297,214,1.0,1.0,2.0,,,,72.05387205387206
John B. Whitsitt Elementary,450,211,2.0,4.0,3.0,,,4.0,46.88888888888889
John Early Middle,302,230,1.0,1.0,4.0,,,,76.15894039735099
John F. Kennedy Middle,842,316,1.0,0.0,4.0,,,0.0,37.52969121140142
John Overton High,2070,700,2.0,0.0,4.0,2.0,3.0,1.0,33.81642512077295
John Trotwood Moore Middle,753,162,4.0,0.0,2.0,,,4.0,21.51394422310757
Jones Elementary,206,105,0.0,0.0,4.0,,,,50.970873786407765
Julia Green Elementary,446,13,4.0,0.0,4.0,,,,2.914798206278027
KIPP Academy Nashville,377,213,3.0,4.0,4.0,,,1.0,56.49867374005305
KIPP Nashville College Prep,356,177,3.0,4.0,4.0,,,1.0,49.71910112359551
KIPP Nashville Collegiate High School,422,177,2.0,0.0,4.0,,,4.0,41.943127962085306
Knowledge Academies High School,142,36,1.0,0.0,0.0,,,1.0,25.352112676056336
