address,vicinity,name,type
"3807 Nolensville Pike, Nashville","3807 Nolensville Pike, Nashville",Idripejuice.com,"['point_of_interest', 'store', 'establishment']"
"3807 Nolensville Pike, Nashville","3807 Nolensville Pike, Nashville","La Sierra Western Wear mens clothings store. we carry brands like stetson, resistol","['store', 'point_of_interest', 'establishment']"
"82 Lafayette St, Nashville","82 Lafayette Street, Nashville",Dollar General,"['grocery_or_supermarket', 'home_goods_store', 'food', 'point_of_interest', 'store', 'establishment']"
"82 Lafayette St, Nashville","82 Lafayette Street, Nashville",I Verify,"['point_of_interest', 'establishment']"
"119 S Main St, Goodlettsville","119 South Main Street Suite 300, Memphis",LOCALiQ,"['point_of_interest', 'establishment']"
"119 S Main St, Goodlettsville","119 South Main Street Suite 500, Memphis",Law office of W R VanScoy,"['lawyer', 'point_of_interest', 'establishment']"
"119 S Main St, Goodlettsville","119 South Main Street Suite 500, Memphis",Alders Law Firm,"['lawyer', 'point_of_interest', 'establishment']"
"119 S Main St, Goodlettsville","119 South Main Street Suite 500, Memphis",Worldwide Contractor Services,"['point_of_interest', 'establishment']"
"119 S Main St, Goodlettsville","119 South Main Street Suite 300, Memphis","Mike Acuff, LOCALiQ | USA TODAY NETWORK","['point_of_interest', 'establishment']"
"1905 Division St, Nashville","1905 Division Street, Nashville",Southern American Songs,"['point_of_interest', 'establishment']"
"816 Madison Square, Madison","816 Madison Square, Madison",Roots Hair & Beauty,"['point_of_interest', 'store', 'establishment']"
"195 Polk Ave, Nashville","195 Polk Avenue, Nashville",Can-Do National Tape,"['point_of_interest', 'store', 'establishment']"
"834 Porter Rd, Nashville","834 Porter Road, Nashville",Coinsource Bitcoin ATM,"['atm', 'finance', 'point_of_interest', 'establishment']"
"834 Porter Rd, Nashville","834 Porter Road, Nashville",ATM,"['atm', 'finance', 'point_of_interest', 'establishment']"
"834 Porter Rd, Nashville","834 Porter Road, Nashville",Porter Road Gulf,"['gas_station', 'point_of_interest', 'establishment']"
"1016 Dickerson Pike, Nashville","1016 Dickerson Pike, Nashville",nails first,"['shopping_mall', 'point_of_interest', 'establishment']"
"1016 Dickerson Pike, Nashville","1016 Dickerson Pike, Nashville",East Side Barber Shop,"['hair_care', 'health', 'point_of_interest', 'establishment']"
"841 Robinson Rd, Old Hickory","841 Robinson Road, Old Hickory",Resurrection Upholstery LLC,"['furniture_store', 'home_goods_store', 'point_of_interest', 'store', 'establishment']"
"841 Robinson Rd, Old Hickory","841 Robinson Road, Old Hickory",Anderson Marine,"['point_of_interest', 'store', 'establishment']"
